,0
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Belize
18,Benin
19,Bhutan
20,Bolivia
21,Bosnia and Herzegovina
22,Botswana
23,Brazil
24,Brunei
25,Bulgaria
26,Burkina Faso
27,Burma
28,Burundi
29,Cabo Verde
30,Cambodia
31,Cameroon
32,Canada
33,Central African Republic
34,Chad
35,Chile
36,China
37,Colombia
38,Comoros
39,Congo (Brazzaville)
40,Congo (Kinshasa)
41,Costa Rica
42,Cote d'Ivoire
43,Croatia
44,Cuba
45,Cyprus
46,Czechia
47,Denmark
48,Diamond Princess
49,Djibouti
50,Dominica
51,Dominican Republic
52,Ecuador
53,Egypt
54,El Salvador
55,Equatorial Guinea
56,Eritrea
57,Estonia
58,Eswatini
59,Ethiopia
60,Fiji
61,Finland
62,France
63,Gabon
64,Gambia
65,Georgia
66,Germany
67,Ghana
68,Greece
69,Grenada
70,Guatemala
71,Guinea
72,Guinea-Bissau
73,Guyana
74,Haiti
75,Holy See
76,Honduras
77,Hungary
78,Iceland
79,India
80,Indonesia
81,Iran
82,Iraq
83,Ireland
84,Israel
85,Italy
86,Jamaica
87,Japan
88,Jordan
89,Kazakhstan
90,Kenya
91,Kiribati
92,"Korea, South"
93,Kosovo
94,Kuwait
95,Kyrgyzstan
96,Laos
97,Latvia
98,Lebanon
99,Lesotho
100,Liberia
101,Libya
102,Liechtenstein
103,Lithuania
104,Luxembourg
105,MS Zaandam
106,Madagascar
107,Malawi
108,Malaysia
109,Maldives
110,Mali
111,Malta
112,Marshall Islands
113,Mauritania
114,Mauritius
115,Mexico
116,Micronesia
117,Moldova
118,Monaco
119,Mongolia
120,Montenegro
121,Morocco
122,Mozambique
123,Namibia
124,Nepal
125,Netherlands
126,New Zealand
127,Nicaragua
128,Niger
129,Nigeria
130,North Macedonia
131,Norway
132,Oman
133,Pakistan
134,Panama
135,Papua New Guinea
136,Paraguay
137,Peru
138,Philippines
139,Poland
140,Portugal
141,Qatar
142,Romania
143,Russia
144,Rwanda
145,Saint Kitts and Nevis
146,Saint Lucia
147,Saint Vincent and the Grenadines
148,Samoa
149,San Marino
150,Sao Tome and Principe
151,Saudi Arabia
152,Senegal
153,Serbia
154,Seychelles
155,Sierra Leone
156,Singapore
157,Slovakia
158,Slovenia
159,Solomon Islands
160,Somalia
161,South Africa
162,South Sudan
163,Spain
164,Sri Lanka
165,Sudan
166,Suriname
167,Sweden
168,Switzerland
169,Syria
170,Taiwan*
171,Tajikistan
172,Tanzania
173,Thailand
174,Timor-Leste
175,Togo
176,Trinidad and Tobago
177,Tunisia
178,Turkey
179,US
180,Uganda
181,Ukraine
182,United Arab Emirates
183,United Kingdom
184,Uruguay
185,Uzbekistan
186,Vanuatu
187,Venezuela
188,Vietnam
189,West Bank and Gaza
190,Yemen
191,Zambia
192,Zimbabwe
